"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Shell-sort","51000","329","461","50"
"Merge-sort","31000","111","572","50"
"Cocktail-sort","178000","1105","1796","50"
"Shell-sort","48000","308","443","51"
"Merge-sort","32000","110","586","51"
"Cocktail-sort","144000","936","1274","51"
"Shell-sort","50000","317","455","52"
"Merge-sort","32000","111","600","52"
"Cocktail-sort","175000","1110","1751","52"
"Shell-sort","50000","327","468","53"
"Merge-sort","24000","118","614","53"
"Cocktail-sort","181000","1092","1769","53"
"Shell-sort","55000","372","516","54"
"Merge-sort","24000","122","628","54"
"Cocktail-sort","279000","1237","1962","54"
"Shell-sort","62000","354","501","55"
"Merge-sort","35000","121","642","55"
"Cocktail-sort","263000","1292","1956","55"
"Shell-sort","59000","390","540","56"
"Merge-sort","34000","124","656","56"
"Cocktail-sort","192000","1176","1926","56"
"Shell-sort","58000","380","533","57"
"Merge-sort","34000","133","670","57"
"Cocktail-sort","186000","1204","1755","57"
"Shell-sort","61000","392","548","58"
"Merge-sort","93000","126","684","58"
"Cocktail-sort","337000","1344","2094","58"
"Shell-sort","102000","393","552","59"
"Merge-sort","59000","123","698","59"
"Cocktail-sort","328000","1498","2270","59"
"Shell-sort","89000","372","534","60"
"Merge-sort","58000","142","712","60"
"Cocktail-sort","309000","1350","2077","60"
"Shell-sort","91000","368","533","61"
"Merge-sort","72000","144","726","61"
"Cocktail-sort","357000","1348","2144","61"
"Shell-sort","93000","378","546","62"
"Merge-sort","61000","149","740","62"
"Cocktail-sort","302000","1274","1779","62"
"Shell-sort","127000","442","613","63"
"Merge-sort","59000","152","754","63"
"Cocktail-sort","640000","1646","2549","63"
"Shell-sort","95000","435","609","64"
"Merge-sort","63000","158","768","64"
"Cocktail-sort","402000","1710","2838","64"
"Shell-sort","87000","370","547","65"
"Merge-sort","63000","148","784","65"
"Cocktail-sort","364000","1534","2656","65"
"Shell-sort","89000","410","590","66"
"Merge-sort","58000","154","800","66"
"Cocktail-sort","425000","1786","2923","66"
"Shell-sort","83000","408","591","67"
"Merge-sort","59000","160","816","67"
"Cocktail-sort","414000","1906","2929","67"
"Shell-sort","101000","491","677","68"
"Merge-sort","58000","166","832","68"
"Cocktail-sort","442000","1734","2855","68"
"Shell-sort","100000","499","688","69"
"Merge-sort","67000","166","848","69"
"Cocktail-sort","393000","1768","2728","69"
"Shell-sort","105000","494","686","70"
"Merge-sort","64000","167","864","70"
"Cocktail-sort","450000","1938","3060","70"
"Shell-sort","135000","527","722","71"
"Merge-sort","65000","171","880","71"
"Cocktail-sort","494000","2100","3513","71"
"Shell-sort","111000","530","728","72"
"Merge-sort","64000","173","896","72"
"Cocktail-sort","462000","2047","3128","72"
"Shell-sort","98000","494","695","73"
"Merge-sort","62000","178","912","73"
"Cocktail-sort","480000","2016","3054","73"
"Shell-sort","113000","543","747","74"
"Merge-sort","79000","179","928","74"
"Cocktail-sort","519000","2226","3512","74"
"Shell-sort","99000","497","704","75"
"Merge-sort","66000","176","944","75"
"Cocktail-sort","517000","2268","3446","75"
"Shell-sort","122000","595","805","76"
"Merge-sort","67000","183","960","76"
"Cocktail-sort","480000","2166","3309","76"
"Shell-sort","110000","526","739","77"
"Merge-sort","64000","171","976","77"
"Cocktail-sort","765000","2124","3249","77"
"Shell-sort","208000","608","824","78"
"Merge-sort","80000","187","992","78"
"Cocktail-sort","640000","2464","3672","78"
"Shell-sort","117000","554","773","79"
"Merge-sort","72000","199","1008","79"
"Cocktail-sort","472000","2320","3937","79"
"Shell-sort","114000","587","809","80"
"Merge-sort","67000","192","1024","80"
"Cocktail-sort","585000","2552","4007","80"
"Shell-sort","124000","595","820","81"
"Merge-sort","76000","195","1040","81"
"Cocktail-sort","111000","2558","4029","81"
"Shell-sort","119000","600","828","82"
"Merge-sort","68000","201","1056","82"
"Cocktail-sort","118000","2562","4033","82"
"Shell-sort","122000","586","817","83"
"Merge-sort","69000","195","1072","83"
"Cocktail-sort","111000","2476","3471","83"
"Shell-sort","127000","620","854","84"
"Merge-sort","71000","208","1088","84"
"Cocktail-sort","134000","2915","4645","84"
"Shell-sort","142000","608","845","85"
"Merge-sort","84000","219","1104","85"
"Cocktail-sort","128000","2812","4465","85"
"Shell-sort","128000","632","872","86"
"Merge-sort","83000","208","1120","86"
"Cocktail-sort","133000","2816","4324","86"
"Shell-sort","123000","616","859","87"
"Merge-sort","77000","215","1136","87"
"Cocktail-sort","121000","2816","4649","87"
"Shell-sort","129000","646","892","88"
"Merge-sort","74000","212","1152","88"
"Cocktail-sort","126000","3072","4819","88"
"Shell-sort","130000","666","915","89"
"Merge-sort","68000","227","1168","89"
"Cocktail-sort","147000","3238","4902","89"
"Shell-sort","129000","774","1026","90"
"Merge-sort","69000","231","1184","90"
"Cocktail-sort","147000","3250","4863","90"
"Shell-sort","138000","690","945","91"
"Merge-sort","75000","233","1200","91"
"Cocktail-sort","144000","3300","5283","91"
"Shell-sort","139000","697","955","92"
"Merge-sort","76000","238","1216","92"
"Cocktail-sort","319000","3127","4928","92"
"Shell-sort","172000","677","938","93"
"Merge-sort","81000","247","1232","93"
"Cocktail-sort","163000","3312","5609","93"
"Shell-sort","134000","732","996","94"
"Merge-sort","80000","255","1248","94"
"Cocktail-sort","169000","3733","6132","94"
"Shell-sort","205000","727","994","95"
"Merge-sort","59000","246","1264","95"
"Cocktail-sort","115000","3790","5626","95"
"Shell-sort","163000","750","1020","96"
"Merge-sort","56000","248","1280","96"
"Cocktail-sort","118000","3640","5619","96"
"Shell-sort","108000","812","1085","97"
"Merge-sort","55000","245","1296","97"
"Cocktail-sort","105000","3454","5288","97"
"Shell-sort","108000","817","1093","98"
"Merge-sort","64000","250","1312","98"
"Cocktail-sort","122000","3961","6004","98"
"Shell-sort","122000","835","1114","99"
"Merge-sort","60000","260","1328","99"
"Cocktail-sort","127000","4100","6332","99"
"Shell-sort","123000","826","1108","100"
"Merge-sort","57000","262","1344","100"
"Cocktail-sort","129000","4239","6472","100"
"Shell-sort","128000","730","1015","101"
"Merge-sort","63000","260","1360","101"
"Cocktail-sort","117000","3800","6401","101"
"Shell-sort","30000","828","1116","102"
"Merge-sort","59000","268","1376","102"
"Cocktail-sort","123000","3901","6197","102"
"Shell-sort","31000","826","1117","103"
"Merge-sort","62000","270","1392","103"
"Cocktail-sort","116000","3900","5890","103"
"Shell-sort","34000","916","1210","104"
"Merge-sort","86000","290","1408","104"
"Cocktail-sort","121000","3895","6519","104"
"Shell-sort","30000","829","1126","105"
"Merge-sort","61000","270","1424","105"
"Cocktail-sort","129000","4312","6939","105"
"Shell-sort","31000","808","1108","106"
"Merge-sort","62000","288","1440","106"
"Cocktail-sort","122000","4050","6411","106"
"Shell-sort","32000","928","1231","107"
"Merge-sort","67000","282","1456","107"
"Cocktail-sort","137000","4372","6937","107"
"Shell-sort","31000","837","1143","108"
"Merge-sort","64000","290","1472","108"
"Cocktail-sort","135000","4264","6920","108"
"Shell-sort","32000","839","1148","109"
"Merge-sort","62000","273","1488","109"
"Cocktail-sort","130000","4482","6387","109"
"Shell-sort","42000","921","1233","110"
"Merge-sort","69000","299","1504","110"
"Cocktail-sort","155000","4537","7099","110"
"Shell-sort","32000","900","1215","111"
"Merge-sort","72000","286","1520","111"
"Cocktail-sort","141000","4702","7303","111"
"Shell-sort","36000","941","1259","112"
"Merge-sort","71000","306","1536","112"
"Cocktail-sort","160000","5120","8628","112"
"Shell-sort","36000","1040","1361","113"
"Merge-sort","75000","297","1552","113"
"Cocktail-sort","121000","5280","8285","113"
"Shell-sort","26000","964","1288","114"
"Merge-sort","48000","304","1568","114"
"Cocktail-sort","109000","4698","7264","114"
"Shell-sort","26000","960","1287","115"
"Merge-sort","47000","312","1584","115"
"Cocktail-sort","128000","5312","8423","115"
"Shell-sort","28000","978","1308","116"
"Merge-sort","57000","311","1600","116"
"Cocktail-sort","121000","5376","8455","116"
"Shell-sort","27000","974","1307","117"
"Merge-sort","60000","311","1616","117"
"Cocktail-sort","119000","5044","7993","117"
"Shell-sort","30000","978","1392","118"
"Merge-sort","57000","319","1632","118"
"Cocktail-sort","150000","5712","8921","118"
"Shell-sort","29000","985","1403","119"
"Merge-sort","59000","329","1648","119"
"Cocktail-sort","129000","5512","8766","119"
"Shell-sort","31000","985","1407","120"
"Merge-sort","54000","339","1664","120"
"Cocktail-sort","153000","6142","9554","120"
"Shell-sort","28000","897","1323","121"
"Merge-sort","64000","345","1680","121"
"Cocktail-sort","141000","5862","9116","121"
"Shell-sort","30000","993","1423","122"
"Merge-sort","59000","343","1696","122"
"Cocktail-sort","128000","5760","8736","122"
"Shell-sort","31000","1074","1508","123"
"Merge-sort","60000","336","1712","123"
"Cocktail-sort","141000","5996","9447","123"
"Shell-sort","30000","1026","1464","124"
