"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Merge-sort","391000","17412","79584","3376"
"Cocktail-sort","11515000","4277390","7068199","3376"
"Shell-sort","314000","66399","88402","3377"
"Merge-sort","389000","17370","79610","3377"
"Cocktail-sort","11842000","4248552","7056756","3377"
"Shell-sort","306000","61556","83566","3378"
"Merge-sort","390000","17322","79636","3378"
"Cocktail-sort","11458000","4334274","7163515","3378"
"Shell-sort","306000","62533","84550","3379"
"Merge-sort","389000","17361","79662","3379"
"Cocktail-sort","11657000","4262120","7169184","3379"
"Shell-sort","306000","61505","83529","3380"
"Merge-sort","388000","17374","79688","3380"
"Cocktail-sort","11420000","4260392","7062823","3380"
"Shell-sort","308000","62158","84189","3381"
"Merge-sort","390000","17459","79714","3381"
"Cocktail-sort","11480000","4297652","7113230","3381"
"Shell-sort","309000","65108","87146","3382"
"Merge-sort","390000","17320","79740","3382"
"Cocktail-sort","12677000","4295977","7078877","3382"
"Shell-sort","309000","62292","84337","3383"
"Merge-sort","397000","17408","79766","3383"
"Cocktail-sort","11650000","4306100","7147620","3383"
"Shell-sort","310000","65162","87214","3384"
"Merge-sort","407000","17310","79792","3384"
"Cocktail-sort","11392000","4208446","7061591","3384"
"Shell-sort","308000","62106","84165","3385"
"Merge-sort","393000","17424","79818","3385"
"Cocktail-sort","11819000","4377744","7194228","3385"
"Shell-sort","306000","61878","83944","3386"
"Merge-sort","390000","17376","79844","3386"
"Cocktail-sort","11662000","4294290","7116210","3386"
"Shell-sort","363000","65497","87570","3387"
"Merge-sort","396000","17468","79870","3387"
"Cocktail-sort","11798000","4397636","7272702","3387"
"Shell-sort","344000","63649","85729","3388"
"Merge-sort","419000","17431","79896","3388"
"Cocktail-sort","12130000","4261791","7062977","3388"
"Shell-sort","309000","64558","86645","3389"
"Merge-sort","391000","17440","79922","3389"
"Cocktail-sort","11538000","4404412","7241576","3389"
"Shell-sort","313000","66119","88213","3390"
"Merge-sort","391000","17396","79948","3390"
"Cocktail-sort","11508000","4319689","7111154","3390"
"Shell-sort","311000","65176","87277","3391"
"Merge-sort","399000","17409","79974","3391"
"Cocktail-sort","11602000","4354990","7279975","3391"
"Shell-sort","306000","60031","82139","3392"
"Merge-sort","388000","17396","80000","3392"
"Cocktail-sort","11528000","4376691","7190024","3392"
"Shell-sort","304000","60487","82602","3393"
"Merge-sort","392000","17457","80026","3393"
"Cocktail-sort","11784000","4334926","7161702","3393"
"Shell-sort","313000","63494","85616","3394"
"Merge-sort","393000","17370","80052","3394"
"Cocktail-sort","11774000","4318016","7140972","3394"
"Shell-sort","310000","64576","86705","3395"
"Merge-sort","391000","17455","80078","3395"
"Cocktail-sort","11566000","4304380","7158504","3395"
"Shell-sort","312000","65306","87442","3396"
"Merge-sort","391000","17441","80104","3396"
"Cocktail-sort","11689000","4373627","7328968","3396"
"Shell-sort","309000","62909","85052","3397"
"Merge-sort","390000","17462","80130","3397"
"Cocktail-sort","11747000","4403600","7259488","3397"
"Shell-sort","308000","62157","84307","3398"
"Merge-sort","396000","17443","80156","3398"
"Cocktail-sort","11758000","4402034","7278134","3398"
"Shell-sort","307000","62884","85041","3399"
"Merge-sort","393000","17403","80182","3399"
"Cocktail-sort","11792000","4410396","7189244","3399"
"Shell-sort","310000","64119","86283","3400"
"Merge-sort","393000","17467","80208","3400"
"Cocktail-sort","11713000","4400539","7309702","3400"
"Shell-sort","316000","65414","87585","3401"
"Merge-sort","393000","17518","80234","3401"
"Cocktail-sort","11506000","4328182","7225989","3401"
"Shell-sort","315000","65110","87288","3402"
"Merge-sort","408000","17482","80260","3402"
"Cocktail-sort","11898000","4422250","7191066","3402"
"Shell-sort","318000","65523","87708","3403"
"Merge-sort","392000","17555","80286","3403"
"Cocktail-sort","11856000","4368906","7256786","3403"
"Shell-sort","314000","67187","89379","3404"
"Merge-sort","394000","17492","80312","3404"
"Cocktail-sort","11497000","4384087","7311332","3404"
"Shell-sort","313000","66159","88358","3405"
"Merge-sort","394000","17485","80338","3405"
"Cocktail-sort","11505000","4437412","7374459","3405"
"Shell-sort","310000","63537","85743","3406"
"Merge-sort","396000","17477","80364","3406"
"Cocktail-sort","11511000","4319497","7203098","3406"
"Shell-sort","310000","63874","86087","3407"
"Merge-sort","399000","17465","80390","3407"
"Cocktail-sort","11641000","4317736","7146488","3407"
"Shell-sort","312000","62932","85152","3408"
"Merge-sort","394000","17496","80416","3408"
"Cocktail-sort","11731000","4377491","7239475","3408"
"Shell-sort","313000","64246","86473","3409"
"Merge-sort","395000","17543","80442","3409"
"Cocktail-sort","11517000","4345168","7112452","3409"
"Shell-sort","314000","64966","87200","3410"
"Merge-sort","394000","17536","80468","3410"
"Cocktail-sort","11833000","4399488","7292028","3410"
"Shell-sort","313000","63992","86233","3411"
"Merge-sort","397000","17492","80494","3411"
"Cocktail-sort","11846000","4419668","7261678","3411"
"Shell-sort","314000","61789","84037","3412"
"Merge-sort","396000","17530","80520","3412"
"Cocktail-sort","11761000","4391131","7384022","3412"
"Shell-sort","315000","66308","88563","3413"
"Merge-sort","406000","17542","80546","3413"
"Cocktail-sort","11853000","4363944","7211001","3413"
"Shell-sort","313000","63932","86194","3414"
"Merge-sort","395000","17500","80572","3414"
"Cocktail-sort","11961000","4421533","7288864","3414"
"Shell-sort","311000","63138","85407","3415"
"Merge-sort","408000","17552","80598","3415"
"Cocktail-sort","11569000","4261120","7047920","3415"
"Shell-sort","314000","65130","87406","3416"
"Merge-sort","395000","17589","80624","3416"
"Cocktail-sort","11979000","4399710","7309338","3416"
"Shell-sort","303000","61193","83476","3417"
"Merge-sort","399000","17570","80650","3417"
"Cocktail-sort","11485000","4381020","7224163","3417"
"Shell-sort","314000","65652","87942","3418"
"Merge-sort","395000","17543","80676","3418"
"Cocktail-sort","11978000","4466880","7408122","3418"
"Shell-sort","331000","70165","92462","3419"
"Merge-sort","416000","17601","80702","3419"
"Cocktail-sort","12645000","4453668","7400676","3419"
"Shell-sort","313000","65104","87408","3420"
"Merge-sort","397000","17573","80728","3420"
"Cocktail-sort","11965000","4391275","7319875","3420"
"Shell-sort","311000","62725","85036","3421"
"Merge-sort","406000","17566","80754","3421"
"Cocktail-sort","12402000","4477138","7435431","3421"
"Shell-sort","310000","62607","84925","3422"
"Merge-sort","396000","17542","80780","3422"
"Cocktail-sort","11947000","4442161","7340869","3422"
"Shell-sort","320000","64309","86634","3423"
"Merge-sort","395000","17597","80806","3423"
"Cocktail-sort","11939000","4410062","7397136","3423"
"Shell-sort","312000","65062","87394","3424"
"Merge-sort","412000","17685","80832","3424"
"Cocktail-sort","11912000","4474110","7423882","3424"
"Shell-sort","334000","70378","92717","3425"
"Merge-sort","395000","17660","80858","3425"
"Cocktail-sort","11929000","4548248","7513153","3425"
"Shell-sort","311000","64071","86417","3426"
"Merge-sort","397000","17634","80884","3426"
"Cocktail-sort","11702000","4422037","7373479","3426"
"Shell-sort","313000","65134","87487","3427"
"Merge-sort","396000","17672","80910","3427"
"Cocktail-sort","11942000","4346160","7270561","3427"
"Shell-sort","314000","65459","87819","3428"
"Merge-sort","407000","17631","80936","3428"
"Cocktail-sort","11879000","4452607","7417651","3428"
"Shell-sort","310000","63989","86356","3429"
"Merge-sort","397000","17676","80962","3429"
"Cocktail-sort","11787000","4392932","7239656","3429"
"Shell-sort","311000","62101","84475","3430"
"Merge-sort","395000","17635","80988","3430"
"Cocktail-sort","11693000","4418689","7269741","3430"
"Shell-sort","315000","65711","88092","3431"
"Merge-sort","396000","17640","81014","3431"
"Cocktail-sort","11961000","4425540","7230854","3431"
"Shell-sort","314000","64655","87043","3432"
"Merge-sort","399000","17628","81040","3432"
"Cocktail-sort","11998000","4413550","7388220","3432"
"Shell-sort","311000","62072","84467","3433"
"Merge-sort","396000","17711","81066","3433"
"Cocktail-sort","11859000","4488256","7332506","3433"
"Shell-sort","311000","61903","84305","3434"
"Merge-sort","397000","17673","81092","3434"
"Cocktail-sort","12089000","4439253","7442135","3434"
"Shell-sort","311000","61513","83922","3435"
"Merge-sort","402000","17704","81118","3435"
"Cocktail-sort","12010000","4500148","7501448","3435"
"Shell-sort","309000","61601","84017","3436"
"Merge-sort","398000","17639","81144","3436"
"Cocktail-sort","12016000","4469923","7368471","3436"
"Shell-sort","316000","65919","88342","3437"
"Merge-sort","396000","17719","81170","3437"
"Cocktail-sort","12155000","4515372","7505807","3437"
"Shell-sort","314000","64313","86743","3438"
"Merge-sort","398000","17732","81196","3438"
"Cocktail-sort","12008000","4399600","7278960","3438"
"Shell-sort","316000","65146","87583","3439"
"Merge-sort","398000","17719","81222","3439"
"Cocktail-sort","11989000","4369836","7267015","3439"
"Shell-sort","311000","63323","85767","3440"
"Merge-sort","402000","17675","81248","3440"
"Cocktail-sort","11956000","4451328","7376630","3440"
"Shell-sort","313000","64486","86937","3441"
"Merge-sort","397000","17739","81274","3441"
"Cocktail-sort","12128000","4468432","7431541","3441"
"Shell-sort","310000","62910","85368","3442"
"Merge-sort","399000","17612","81300","3442"
"Cocktail-sort","11717000","4409882","7386905","3442"
"Shell-sort","320000","66958","89423","3443"
"Merge-sort","407000","17757","81326","3443"
"Cocktail-sort","12237000","4475316","7475993","3443"
"Shell-sort","313000","63899","86371","3444"
"Merge-sort","399000","17779","81352","3444"
"Cocktail-sort","12096000","4465096","7363890","3444"
"Shell-sort","315000","63203","85682","3445"
"Merge-sort","402000","17865","81378","3445"
"Cocktail-sort","12122000","4458250","7416646","3445"
"Shell-sort","331000","66680","89166","3446"
"Merge-sort","398000","17663","81404","3446"
"Cocktail-sort","11825000","4407957","7392337","3446"
"Shell-sort","318000","66077","88570","3447"
"Merge-sort","402000","17836","81430","3447"
"Cocktail-sort","12097000","4511164","7502303","3447"
"Shell-sort","319000","67257","89757","3448"
"Merge-sort","402000","17831","81456","3448"
"Cocktail-sort","11893000","4414851","7245624","3448"
"Shell-sort","319000","67013","89520","3449"
"Merge-sort","401000","17813","81482","3449"
"Cocktail-sort","12212000","4536600","7484882","3449"
"Shell-sort","318000","65137","87651","3450"
"Merge-sort","412000","17882","81508","3450"
"Cocktail-sort","12291000","4490909","7495947","3450"
"Shell-sort","317000","65333","87854","3451"
"Merge-sort","399000","17806","81534","3451"
"Cocktail-sort","12076000","4482372","7403286","3451"
"Shell-sort","323000","69334","91862","3452"
"Merge-sort","400000","17756","81560","3452"
"Cocktail-sort","12210000","4545271","7475715","3452"
"Shell-sort","316000","64902","87437","3453"
"Merge-sort","401000","17737","81586","3453"
"Cocktail-sort","12045000","4477240","7294095","3453"
"Shell-sort","321000","66951","89493","3454"
"Merge-sort","403000","17834","81612","3454"
"Cocktail-sort","12198000","4602157","7664345","3454"
"Shell-sort","321000","63960","86509","3455"
"Merge-sort","398000","17843","81638","3455"
"Cocktail-sort","12096000","4459928","7466296","3455"
"Shell-sort","312000","63034","85590","3456"
"Merge-sort","399000","17832","81664","3456"
"Cocktail-sort","12060000","4489326","7503936","3456"
"Shell-sort","311000","61772","84335","3457"
"Merge-sort","397000","17777","81690","3457"
"Cocktail-sort","12114000","4516792","7339871","3457"
"Shell-sort","316000","66224","88794","3458"
"Merge-sort","406000","17830","81716","3458"
"Cocktail-sort","12238000","4442377","7432990","3458"
"Shell-sort","319000","66252","88829","3459"
"Merge-sort","398000","17780","81742","3459"
"Cocktail-sort","12107000","4494528","7542323","3459"
"Shell-sort","318000","65097","87681","3460"
"Merge-sort","401000","17860","81768","3460"
"Cocktail-sort","12018000","4494535","7491122","3460"
"Shell-sort","321000","67863","90454","3461"
"Merge-sort","400000","17825","81794","3461"
"Cocktail-sort","12254000","4591468","7645972","3461"
"Shell-sort","316000","64346","86944","3462"
"Merge-sort","411000","17921","81820","3462"
"Cocktail-sort","12102000","4561290","7575926","3462"
"Shell-sort","317000","64465","87070","3463"
"Merge-sort","403000","17868","81846","3463"
"Cocktail-sort","12129000","4454416","7417793","3463"
"Shell-sort","316000","64882","87494","3464"
"Merge-sort","416000","17900","81872","3464"
"Cocktail-sort","12209000","4547840","7547905","3464"
"Shell-sort","318000","64746","87365","3465"
"Merge-sort","406000","17912","81898","3465"
"Cocktail-sort","12028000","4498000","7489867","3465"
"Shell-sort","316000","64125","86751","3466"
"Merge-sort","403000","17834","81924","3466"
"Cocktail-sort","12328000","4497993","7528137","3466"
"Shell-sort","321000","67781","90414","3467"
"Merge-sort","402000","17898","81950","3467"
"Cocktail-sort","12027000","4527402","7532923","3467"
"Shell-sort","322000","64858","87498","3468"
"Merge-sort","398000","17875","81976","3468"
"Cocktail-sort","12324000","4563407","7556727","3468"
"Shell-sort","313000","64015","86662","3469"
"Merge-sort","404000","17816","82002","3469"
"Cocktail-sort","12086000","4480476","7444806","3469"
"Shell-sort","318000","66450","89104","3470"
"Merge-sort","403000","17822","82028","3470"
"Cocktail-sort","12131000","4560109","7587557","3470"
"Shell-sort","323000","66697","89358","3471"
"Merge-sort","400000","17901","82054","3471"
"Cocktail-sort","12163000","4616078","7553630","3471"
"Shell-sort","318000","62534","85202","3472"
"Merge-sort","415000","18006","82080","3472"
"Cocktail-sort","12247000","4483867","7391373","3472"
"Shell-sort","317000","64319","86994","3473"
"Merge-sort","404000","17962","82106","3473"
"Cocktail-sort","12205000","4602814","7635531","3473"
"Shell-sort","325000","70659","93341","3474"
"Merge-sort","405000","17904","82132","3474"
"Cocktail-sort","12355000","4609666","7661573","3474"
"Shell-sort","317000","65490","88179","3475"
"Merge-sort","402000","17942","82158","3475"
"Cocktail-sort","12242000","4504812","7475859","3475"
"Shell-sort","324000","66982","89678","3476"
"Merge-sort","406000","17966","82184","3476"
"Cocktail-sort","12034000","4462423","7400583","3476"
"Shell-sort","320000","65073","87776","3477"
"Merge-sort","402000","17940","82210","3477"
"Cocktail-sort","12204000","4515264","7499240","3477"
"Shell-sort","322000","70219","92929","3478"
"Merge-sort","403000","17908","82236","3478"
"Cocktail-sort","12361000","4562154","7589104","3478"
"Shell-sort","317000","67281","89998","3479"
"Merge-sort","402000","18015","82262","3479"
"Cocktail-sort","12410000","4563908","7523366","3479"
"Shell-sort","324000","67143","89867","3480"
"Merge-sort","403000","17938","82288","3480"
"Cocktail-sort","12221000","4589728","7641604","3480"
"Shell-sort","316000","63991","86722","3481"
"Merge-sort","404000","18006","82314","3481"
"Cocktail-sort","12250000","4532676","7491838","3481"
"Shell-sort","320000","65926","88664","3482"
"Merge-sort","403000","18006","82340","3482"
"Cocktail-sort","12643000","4560517","7586417","3482"
"Shell-sort","322000","65752","88497","3483"
"Merge-sort","432000","17980","82366","3483"
"Cocktail-sort","12368000","4509796","7483992","3483"
"Shell-sort","322000","68157","90909","3484"
"Merge-sort","404000","17946","82392","3484"
"Cocktail-sort","13300000","4583040","7508821","3484"
"Shell-sort","315000","64971","87730","3485"
"Merge-sort","405000","18024","82418","3485"
"Cocktail-sort","12413000","4615688","7624303","3485"
"Shell-sort","327000","66936","89702","3486"
"Merge-sort","407000","18005","82444","3486"
"Cocktail-sort","12367000","4620880","7683283","3486"
"Shell-sort","324000","69379","92152","3487"
"Merge-sort","415000","18045","82470","3487"
"Cocktail-sort","12357000","4548334","7524964","3487"
"Shell-sort","317000","64161","86941","3488"
"Merge-sort","406000","18080","82496","3488"
"Cocktail-sort","12449000","4583160","7558833","3488"
"Shell-sort","324000","68955","91742","3489"
"Merge-sort","412000","18024","82522","3489"
"Cocktail-sort","12377000","4641560","7604227","3489"
"Shell-sort","320000","67726","90520","3490"
"Merge-sort","406000","17969","82548","3490"
"Cocktail-sort","12359000","4588405","7702738","3490"
"Shell-sort","322000","67078","89879","3491"
"Merge-sort","405000","17999","82574","3491"
"Cocktail-sort","12475000","4544740","7536978","3491"
"Shell-sort","315000","63781","86589","3492"
"Merge-sort","406000","18061","82600","3492"
"Cocktail-sort","12194000","4560527","7589917","3492"
"Shell-sort","323000","67026","89841","3493"
"Merge-sort","405000","18078","82626","3493"
"Cocktail-sort","12415000","4574520","7658673","3493"
"Shell-sort","319000","66025","88847","3494"
"Merge-sort","411000","18055","82652","3494"
"Cocktail-sort","12707000","4692818","7744151","3494"
"Shell-sort","322000","67640","90469","3495"
"Merge-sort","406000","18090","82678","3495"
"Cocktail-sort","12636000","4607600","7608273","3495"
"Shell-sort","362000","64543","87379","3496"
"Merge-sort","437000","18120","82704","3496"
"Cocktail-sort","13438000","4681267","7711945","3496"
"Shell-sort","322000","66673","89516","3497"
"Merge-sort","407000","18073","82730","3497"
"Cocktail-sort","12337000","4569222","7639110","3497"
"Shell-sort","323000","67008","89858","3498"
"Merge-sort","417000","18026","82756","3498"
"Cocktail-sort","12344000","4628464","7626909","3498"
"Shell-sort","318000","65419","88276","3499"
"Merge-sort","406000","18013","82782","3499"
"Cocktail-sort","12309000","4628508","7656145","3499"
"Shell-sort","321000","67558","90422","3500"
"Merge-sort","407000","18167","82808","3500"
"Cocktail-sort","12630000","4678299","7851184","3500"
"Shell-sort","318000","65387","88258","3501"
"Merge-sort","415000","18122","82834","3501"
"Cocktail-sort","12409000","4533602","7461483","3501"
"Shell-sort","326000","67366","90244","3502"
"Merge-sort","407000","18098","82860","3502"
"Cocktail-sort","12448000","4591989","7584361","3502"
"Shell-sort","323000","67474","90359","3503"
"Merge-sort","408000","18119","82886","3503"
"Cocktail-sort","12539000","4670032","7710829","3503"
"Shell-sort","322000","66914","89806","3504"
"Merge-sort","405000","18119","82912","3504"
"Cocktail-sort","12465000","4626947","7611302","3504"
"Shell-sort","333000","68827","91726","3505"
"Merge-sort","408000","18057","82938","3505"
"Cocktail-sort","12736000","4642600","7741790","3505"
"Shell-sort","318000","63789","86695","3506"
"Merge-sort","406000","18126","82964","3506"
"Cocktail-sort","12106000","4419936","7414031","3506"
"Shell-sort","317000","62324","85237","3507"
"Merge-sort","406000","18110","82990","3507"
"Cocktail-sort","12441000","4579532","7623003","3507"
"Shell-sort","321000","65653","88573","3508"
"Merge-sort","413000","18130","83016","3508"
"Cocktail-sort","12361000","4598947","7554599","3508"
"Shell-sort","335000","66044","88971","3509"
"Merge-sort","409000","18122","83042","3509"
"Cocktail-sort","12766000","4752052","7835169","3509"
"Shell-sort","323000","68972","91906","3510"
"Merge-sort","408000","18191","83068","3510"
"Cocktail-sort","12471000","4670512","7737867","3510"
"Shell-sort","327000","68930","91871","3511"
"Merge-sort","413000","18085","83094","3511"
"Cocktail-sort","12549000","4635808","7731509","3511"
"Shell-sort","320000","63778","86726","3512"
"Merge-sort","410000","18166","83120","3512"
"Cocktail-sort","12356000","4618272","7751610","3512"
"Shell-sort","318000","63530","86485","3513"
"Merge-sort","408000","18157","83146","3513"
"Cocktail-sort","12585000","4711952","7785873","3513"
"Shell-sort","325000","68187","91149","3514"
"Merge-sort","411000","18151","83172","3514"
"Cocktail-sort","12531000","4679377","7822842","3514"
"Shell-sort","328000","68085","91054","3515"
"Merge-sort","406000","18131","83198","3515"
"Cocktail-sort","12388000","4602300","7663059","3515"
"Shell-sort","325000","69946","92922","3516"
"Merge-sort","410000","18252","83224","3516"
"Cocktail-sort","12519000","4670806","7767483","3516"
"Shell-sort","329000","70366","93349","3517"
"Merge-sort","407000","18160","83250","3517"
"Cocktail-sort","12816000","4731132","7827130","3517"
"Shell-sort","328000","69730","92720","3518"
"Merge-sort","405000","18225","83276","3518"
"Cocktail-sort","12618000","4712400","7797615","3518"
"Shell-sort","326000","67668","90665","3519"
"Merge-sort","407000","18269","83302","3519"
"Cocktail-sort","12584000","4721068","7838644","3519"
"Shell-sort","322000","68075","91079","3520"
"Merge-sort","411000","18236","83328","3520"
"Cocktail-sort","12536000","4700479","7779080","3520"
"Shell-sort","322000","66346","89357","3521"
"Merge-sort","407000","18240","83354","3521"
"Cocktail-sort","12522000","4683180","7814725","3521"
"Shell-sort","337000","67566","90584","3522"
"Merge-sort","408000","18220","83380","3522"
"Cocktail-sort","12498000","4648157","7691654","3522"
"Shell-sort","322000","64396","87421","3523"
"Merge-sort","417000","18274","83406","3523"
"Cocktail-sort","12799000","4693704","7776956","3523"
"Shell-sort","322000","65715","88747","3524"
"Merge-sort","409000","18228","83432","3524"
"Cocktail-sort","12912000","4718023","7768510","3524"
"Shell-sort","327000","68860","91899","3525"
"Merge-sort","407000","18175","83458","3525"
"Cocktail-sort","12624000","4678060","7807524","3525"
"Shell-sort","326000","66941","89987","3526"
"Merge-sort","411000","18226","83484","3526"
"Cocktail-sort","12454000","4714693","7698155","3526"
"Shell-sort","317000","64425","87478","3527"
"Merge-sort","409000","18295","83510","3527"
"Cocktail-sort","12444000","4632102","7669413","3527"
"Shell-sort","335000","72417","95477","3528"
"Merge-sort","410000","18308","83536","3528"
"Cocktail-sort","12460000","4674592","7784714","3528"
"Shell-sort","331000","68526","91593","3529"
"Merge-sort","410000","18320","83562","3529"
"Cocktail-sort","12736000","4702662","7754930","3529"
"Shell-sort","323000","65404","88478","3530"
"Merge-sort","416000","18332","83588","3530"
"Cocktail-sort","12778000","4655137","7765296","3530"
"Shell-sort","322000","66077","89158","3531"
"Merge-sort","410000","18303","83614","3531"
"Cocktail-sort","12742000","4681658","7770665","3531"
"Shell-sort","329000","70141","93229","3532"
"Merge-sort","409000","18338","83640","3532"
"Cocktail-sort","12558000","4624704","7695703","3532"
"Shell-sort","328000","67607","90702","3533"
"Merge-sort","409000","18316","83666","3533"
"Cocktail-sort","12691000","4789236","7931849","3533"
"Shell-sort","321000","64865","87967","3534"
"Merge-sort","410000","18362","83692","3534"
"Cocktail-sort","12881000","4823280","7883527","3534"
"Shell-sort","324000","66260","89369","3535"
"Merge-sort","406000","18319","83718","3535"
"Cocktail-sort","12988000","4701072","7875192","3535"
"Shell-sort","331000","68739","91855","3536"
"Merge-sort","408000","18404","83744","3536"
"Cocktail-sort","12722000","4690503","7828409","3536"
"Shell-sort","324000","65290","88413","3537"
"Merge-sort","414000","18359","83770","3537"
"Cocktail-sort","12722000","4725684","7719838","3537"
"Shell-sort","324000","66037","89167","3538"
"Merge-sort","410000","18394","83796","3538"
"Cocktail-sort","12501000","4653090","7640901","3538"
"Shell-sort","326000","68844","91981","3539"
"Merge-sort","409000","18377","83822","3539"
"Cocktail-sort","12632000","4744978","7721924","3539"
"Shell-sort","322000","66489","89633","3540"
"Merge-sort","409000","18268","83848","3540"
"Cocktail-sort","12678000","4695808","7832105","3540"
"Shell-sort","328000","70010","93161","3541"
"Merge-sort","411000","18347","83874","3541"
"Cocktail-sort","12895000","4765962","7827718","3541"
"Shell-sort","328000","67621","90779","3542"
"Merge-sort","417000","18290","83900","3542"
"Cocktail-sort","12732000","4736377","7875440","3542"
"Shell-sort","324000","66285","89450","3543"
"Merge-sort","410000","18406","83926","3543"
"Cocktail-sort","12527000","4679740","7744040","3543"
"Shell-sort","329000","69114","92286","3544"
"Merge-sort","5266000","18337","83952","3544"
"Cocktail-sort","12977000","4748718","7832821","3544"
"Shell-sort","329000","68172","91351","3545"
"Merge-sort","411000","18411","83978","3545"
"Cocktail-sort","12913000","4761000","7935418","3545"
"Shell-sort","332000","71075","94261","3546"
"Merge-sort","411000","18392","84004","3546"
"Cocktail-sort","12898000","4847153","8001505","3546"
"Shell-sort","322000","64033","87226","3547"
"Merge-sort","411000","18386","84030","3547"
"Cocktail-sort","12780000","4725924","7841729","3547"
"Shell-sort","321000","64061","87261","3548"
"Merge-sort","412000","18461","84056","3548"
"Cocktail-sort","12780000","4718839","7708367","3548"
"Shell-sort","327000","68094","91301","3549"
"Merge-sort","415000","18478","84082","3549"
"Cocktail-sort","12860000","4722388","7874330","3549"
"Shell-sort","326000","66057","89271","3550"
"Merge-sort","427000","18379","84108","3550"
"Cocktail-sort","12780000","4822050","7886362","3550"
"Shell-sort","324000","67292","90513","3551"
"Merge-sort","415000","18392","84134","3551"
"Cocktail-sort","12650000","4679396","7778832","3551"
"Shell-sort","326000","66585","89813","3552"
"Merge-sort","418000","18454","84160","3552"
"Cocktail-sort","12943000","4731264","7839786","3552"
"Shell-sort","331000","70965","94200","3553"
"Merge-sort","411000","18469","84186","3553"
"Cocktail-sort","12694000","4738366","7896828","3553"
"Shell-sort","326000","66694","89936","3554"
"Merge-sort","414000","18464","84212","3554"
"Cocktail-sort","12859000","4787706","7849084","3554"
"Shell-sort","330000","69387","92636","3555"
"Merge-sort","412000","18440","84238","3555"
"Cocktail-sort","12987000","4724114","7862933","3555"
"Shell-sort","329000","67303","90559","3556"
"Merge-sort","411000","18361","84264","3556"
"Cocktail-sort","13035000","4831303","8054918","3556"
"Shell-sort","327000","66963","90226","3557"
"Merge-sort","409000","18386","84290","3557"
"Cocktail-sort","12858000","4633324","7707263","3557"
"Shell-sort","325000","66476","89746","3558"
"Merge-sort","423000","18470","84316","3558"
"Cocktail-sort","13085000","4775597","7912884","3558"
"Shell-sort","325000","67200","90477","3559"
"Merge-sort","411000","18439","84342","3559"
"Cocktail-sort","12752000","4772096","7949462","3559"
"Shell-sort","328000","66763","90047","3560"
"Merge-sort","412000","18517","84368","3560"
"Cocktail-sort","12809000","4720398","7787580","3560"
"Shell-sort","329000","69430","92721","3561"
"Merge-sort","416000","18472","84394","3561"
"Cocktail-sort","13040000","4836982","8021988","3561"
"Shell-sort","328000","67519","90817","3562"
"Merge-sort","415000","18568","84420","3562"
"Cocktail-sort","13254000","4831861","8021984","3562"
"Shell-sort","327000","67136","90441","3563"
"Merge-sort","416000","18576","84446","3563"
"Cocktail-sort","12768000","4831944","8014749","3563"
"Shell-sort","324000","65221","88533","3564"
"Merge-sort","412000","18534","84472","3564"
"Cocktail-sort","12873000","4763286","7991159","3564"
"Shell-sort","336000","71743","95062","3565"
"Merge-sort","424000","18415","84498","3565"
"Cocktail-sort","13196000","4825112","7992902","3565"
"Shell-sort","332000","69029","92355","3566"
"Merge-sort","414000","18534","84524","3566"
"Cocktail-sort","13003000","4683728","7750773","3566"
"Shell-sort","325000","66653","89986","3567"
"Merge-sort","415000","18518","84550","3567"
"Cocktail-sort","12877000","4775764","7925250","3567"
"Shell-sort","339000","68577","91917","3568"
"Merge-sort","412000","18535","84576","3568"
"Cocktail-sort","13285000","4853251","8028687","3568"
"Shell-sort","325000","67376","90723","3569"
"Merge-sort","413000","18556","84602","3569"
"Cocktail-sort","12806000","4800660","7916906","3569"
"Shell-sort","331000","68504","91858","3570"
"Merge-sort","417000","18602","84628","3570"
"Cocktail-sort","13033000","4865602","8109441","3570"
"Shell-sort","326000","66663","90024","3571"
"Merge-sort","414000","18589","84654","3571"
"Cocktail-sort","13205000","4862220","7954151","3571"
"Shell-sort","328000","67515","90883","3572"
"Merge-sort","446000","18585","84680","3572"
"Cocktail-sort","12929000","4755990","7820970","3572"
"Shell-sort","339000","73673","97048","3573"
"Merge-sort","412000","18622","84706","3573"
"Cocktail-sort","13014000","4781114","7927374","3573"
"Shell-sort","328000","68079","91461","3574"
"Merge-sort","412000","18563","84732","3574"
"Cocktail-sort","13056000","4781106","7891402","3574"
"Shell-sort","327000","67934","91323","3575"
"Merge-sort","409000","18561","84758","3575"
"Cocktail-sort","12874000","4759494","7827453","3575"
"Shell-sort","326000","67291","90687","3576"
"Merge-sort","414000","18641","84784","3576"
"Cocktail-sort","12986000","4864387","8039091","3576"
"Shell-sort","328000","67826","91229","3577"
"Merge-sort","426000","18632","84810","3577"
"Cocktail-sort","13162000","4867964","8024425","3577"
"Shell-sort","328000","67774","91184","3578"
"Merge-sort","411000","18653","84836","3578"
"Cocktail-sort","13273000","4875037","8053166","3578"
"Shell-sort","330000","67945","91362","3579"
"Merge-sort","418000","18707","84862","3579"
"Cocktail-sort","12847000","4766570","7827798","3579"
"Shell-sort","338000","72515","95939","3580"
"Merge-sort","412000","18610","84888","3580"
"Cocktail-sort","13067000","4836435","7963810","3580"
"Shell-sort","344000","75604","99035","3581"
"Merge-sort","410000","18658","84914","3581"
